pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6
-0.011105082091451163,-0.44470914205225254,0.6350223292275791,-3.1318312863497306,-0.05556561755125033,-0.10759040540190765,0.0008959019368420704,0.0014866050419992483,-0.0020004304411454675,0.004672239416632699,-0.0003809896602450991,-0.007565256003245892,0.07701701120106144,0.12455597218876462,-0.16967143011241073,0.39472759707128036,-0.03403434139807795,-0.6410312078692298
-0.011104147142570065,-0.44470759237001656,0.6350202428260623,-3.13182641414003,-0.05556601582426898,-0.10759829544880087,0.0009745338482298857,0.0016135564953070794,-0.0021735059885037208,0.005074781191025086,-0.0004158229584753588,-0.008219105353714064,0.08024514852144887,0.12933836410063335,-0.17647180608076346,0.4103348196435608,-0.035633828834164674,-0.6666366394658434
-0.011103131949371663,-0.4447059133536942,0.6350179799566636,-3.1318211316060593,-0.0555664497319005,-0.10760685211692622,0.0010563889089994752,0.001745264657955423,-0.0023533583554580114,0.00549286685087283,-0.0004522604540707994,-0.008898467653044832,0.08346331118544296,0.13406941927869864,-0.18322508850475122,0.42581542708920256,-0.037242724742253104,-0.6920571836641113
-0.011102033293692684,-0.4447041002722165,0.6350155338660913,-3.1318154232671827,-0.05556692088303511,-0.10761610082686696,0.0011414571481569945,0.0018816782784342625,-0.0025399405060656556,0.0059263699583802865,-0.0004903115213445175,-0.009603158248048556,0.08667150651811682,0.13874930816629963,-0.18993139258637753,0.4411697740615951,-0.03886096080435997,-0.7172933088810749
-0.011100847967337187,-0.44470214844568023,0.6350128978480317,-3.131809273769024,-0.05556743089590317,-0.10762606681478738,0.0012297286020336335,0.002022746275672466,-0.0027332055195847032,0.006375164430390093,-0.0005299854662915572,-0.01033299295395244,0.08986974184454326,0.14337820120677897,-0.1965908335276495,0.4563982152142979,-0.04048846870250242,-0.7423454835337778
-0.011099572772069239,-0.4447000532451783,0.6350100652430343,-3.1318026678831132,-0.0555679813980069,-0.10763677513290118,0.001321193314285678,0.0021684177390466717,-0.002933106590474828,0.0068391245384187204,-0.0005712915265888827,-0.0110877880544003,0.09305802448979517,0.14795626884349003,-0.20320352653055998,0.47150110520070054,-0.04212518011869852,-0.767214176039266
-0.011098204519605576,-0.44469781009262865,0.6350070294383963,-3.1317955905065302,-0.05556857402605201,-0.10764825064993984,0.001415841335894517,0.002318641928372851,-0.003139597028399992,0.00731812490862449,-0.000614238871595614,-0.011867360301454126,0.09623636177894555,0.15248368151976482,-0.2097695867971196,0.4864787986743343,-0.04377102673496587,-0.7918998548145846
-0.011096740031608309,-0.4446954144606046,0.635003783868048,-3.1317880266615523,-0.05556921042587943,-0.10766051805162122,0.001513662725166559,0.002473368273913412,-0.003352630258224894,0.007812040521816458,-0.0006588366023528602,-0.012671526915591863,0.09940476103706712,0.15696060967894956,-0.21628912952930707,0.5013316502885601,-0.04542594023332186,-0.8164029882767788
-0.011095176139677566,-0.444692861872164,0.6350003220124374,-3.131779961495299,-0.055569892252396974,-0.10767360184111785,0.0016146475477333507,0.0026325463763732003,-0.003572159820014963,0.008320746713465055,-0.0007050937515835951,-0.013500105585708903,0.10256322958923275,0.16138722376439052,-0.22276226992914006,0.5160600146968809,-0.04708985229578388,-0.8407240448428911
-0.011093509685344175,-0.4446901479006779,0.6349966373984137,-3.1317713802793743,-0.05557062116951099,-0.10768752633952525,0.0017187858765513892,0.0027961260068986174,-0.0037981393690385895,0.008844119173686129,-0.0007530192836931425,-0.01435291446911798,0.1057117747605156,0.1657636942194161,-0.2291891231986079,0.5306642465527711,-0.04876269460436953,-0.8648634929299693
